course	term	section	label	href
EcoIV	2019-1	Syllabus	Syllabus	https://mauricio-romero.com/pdfs/EcoIV/20191/Temario.pdf
EcoIV	2019-1	Equilibrio General	Lecture 1	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture1.pdf
EcoIV	2019-1	Equilibrio General	Lecture 2	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture2.pdf
EcoIV	2019-1	Equilibrio General	Lecture 3	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture3.pdf
EcoIV	2019-1	Equilibrio General	Lecture 4	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture4.pdf
EcoIV	2019-1	Equilibrio General	Lecture 5	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture5.pdf
EcoIV	2019-1	Equilibrio General	Lecture 6	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture6.pdf
EcoIV	2019-1	Monopolio y discriminación de precios	Lecture 7	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture7.pdf
EcoIV	2019-1	Monopolio y discriminación de precios	Lecture 8	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture8.pdf
EcoIV	2019-1	Monopolio y discriminación de precios	Lecture 9	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture9.pdf
EcoIV	2019-1	Monopolio y discriminación de precios	Lecture 10	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture10.pdf
EcoIV	2019-1	Monopolio y discriminación de precios	Lecture 11	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture11.pdf
EcoIV	2019-1	Monopolio y discriminación de precios	Lecture 12	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture12.pdf
EcoIV	2019-1	Monopolio y discriminación de precios	Lecture 13	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture13.pdf
EcoIV	2019-1	Monopolio y discriminación de precios	Lecture 14	https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture14.pdf
