"Course","Term","Section","Label","Href","Status","Url","Asset","Local"
"EcoIV","2019-1","Syllabus","Syllabus","https://mauricio-romero.com/pdfs/EcoIV/20191/Temario.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_Temario.pdf","","public_html\pdfs\EcoIV\20191\Temario.pdf"
"EcoIV","2019-1","Equilibrio General","Lecture 1","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture1.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture1.pdf","","public_html\pdfs\EcoIV\20191\Lecture1.pdf"
"EcoIV","2019-1","Equilibrio General","Lecture 2","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture2.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture2.pdf","","public_html\pdfs\EcoIV\20191\Lecture2.pdf"
"EcoIV","2019-1","Equilibrio General","Lecture 3","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture3.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture3.pdf","","public_html\pdfs\EcoIV\20191\Lecture3.pdf"
"EcoIV","2019-1","Equilibrio General","Lecture 4","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture4.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture4.pdf","","public_html\pdfs\EcoIV\20191\Lecture4.pdf"
"EcoIV","2019-1","Equilibrio General","Lecture 5","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture5.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture5.pdf","","public_html\pdfs\EcoIV\20191\Lecture5.pdf"
"EcoIV","2019-1","Equilibrio General","Lecture 6","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture6.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture6.pdf","","public_html\pdfs\EcoIV\20191\Lecture6.pdf"
"EcoIV","2019-1","Monopolio y discriminación de precios","Lecture 7","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture7.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture7.pdf","","public_html\pdfs\EcoIV\20191\Lecture7.pdf"
"EcoIV","2019-1","Monopolio y discriminación de precios","Lecture 8","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture8.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture8.pdf","","public_html\pdfs\EcoIV\20191\Lecture8.pdf"
"EcoIV","2019-1","Monopolio y discriminación de precios","Lecture 9","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture9.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture9.pdf","","public_html\pdfs\EcoIV\20191\Lecture9.pdf"
"EcoIV","2019-1","Monopolio y discriminación de precios","Lecture 10","https://mauricio-romero.com/pdfs/EcoIV/20191/Lecture10.pdf","PDF_OK","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20191_Lecture10.pdf","","public_html\pdfs\EcoIV\20191\Lecture10.pdf"
